Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1537996761,6407246.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00026921,0x0b38cf2509eaaaf94506cff55c4f8a8fb74e89dc0eb8f72eba0f4f6fc72c6d6e,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1542678960,6738872.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00033237,0x166250497be8c04e4fa220c2280772af5a213c2589e302e6baa716d44a90b256,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1544147554,6841945.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00029913,0x1d567846ca988746748f276a523bce79f1d4c1a519305a2f7a39948a557b8ec1,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1540709597,6599837.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00022158,0x3161fc804ec736f01385df390e9db4b41275006f3e19f79b064a105db5b6c90d,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1539548538,6517602.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00022158,0x4d0483d5af62c2a2c99d6a4488d87c03ba0b69d8ec4b31314ee2c7cbfbb90e68,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1541560112,6659757.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00033237,0x74c30a04c1cc4d756a6dd744a86021a1482a7d181844ceae9c430457d8b60c32,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1543874973,6822943.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00029913,0x7b0d6911cf9cf36b9276678c809a26d4c0a7bbdd862e95fce26f31738b40264b,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1538625129,6451655.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00022158,0xa0de68f3b279c3257959fba4cee19bed568e5ce179ddcb3d29a7cdbeffe2a1ac,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1542136090,6700582.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00022158,0xa1efc91aeb2abc573b0008b800477da3a96c07b9a9620169aec77243e09ace9a,external,0,0 Ether
0,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1541041706,6623282.0,0x140427a7d27144a4cda83bd6b9052a63b0c5b589,IN,3,0.00023265,0xb231e8b2a87f851275eb19a106d4a2880a76854ccdee155b7d5133f19c1b9be9,external,0,0 Ether
