Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1515804688,4900679.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.00125268,0x0d413b564f7236cd9792aea01128acbfd130682f09b73d9ed3909abea57ce711,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1515806017,4900753.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.0012045,0x2485c4663df3168f8a8468330aeaa3f2ceb303e85182e8ded547d0effc0d90b9,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1516513502,4946689.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.00188435,0x3f56dcb1db7ccd89853826aff43137a3171e691bd00f31acb0fe272e1abda531,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1516048467,4916194.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.00125268,0x4feed8aaf08459117a8b1c3b3447518d4bb74e91e6008450223f2b04dac84a61,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1516497630,4945580.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.00188435,0x6f68316a5756b88d7e44721dbbd9eccb1c22670226ab0539c202fb74226ba557,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1516050347,4916327.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.00125268,0x7de4138c413c3e768eb25017c13155594b3cd69be274a58ff252e16d15be0d22,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1516067843,4917466.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.0019253,0x8cd462708543ab0267bfe5226eb3a183f61a78c4966ab3fb8cf66e5ad0168d52,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1516058620,4916879.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.00125268,0x9cdf00663c05f12fe956b2056c557e4bef2302b61ca738c628625cdab44a9892,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1515862010,4901600.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.0012045,0xa65461c12f8aeb8ea8cd0d3882deb49e6ca6c2a0812cd640e6a80d5bc70cb511,external,0,0 Ether
0,0x0b76544f6c413a555f309bf76260d1e02377c02a,1516501596,4945842.0,0xe9a24f8628006c7f33f91c0248e10e62a121b516,IN,3,0.00188435,0xad780ceb4511845991fb20d0fe02cf53f260556bcde3e8af5d578fae99dbc875,external,0,0 Ether
