Id,"('IN&external&0', 'IN&external&0', 'IN&external&0', 'IN&external&0')","('OUT&internal&call', 'OUT&internal&call', 'OUT&internal&call', 'OUT&internal&call')","('IN&internal&call', 'IN&internal&call', 'IN&internal&call', 'IN&internal&call')","('IN&internal&call', 'IN&internal&call', 'IN&internal&call', 'OUT&internal&call')","('IN&internal&call', 'IN&internal&call', 'OUT&internal&call', 'OUT&internal&call')","('IN&internal&call', 'OUT&internal&call', 'OUT&internal&call', 'OUT&internal&call')",Txn_len,N_investments,N_payments,D_index,Avg_investment,Std_investment,Avg_payment,Std_payment,Investment_times,Payment_times,Investment_payment_rate,Txn_period,N_creator,N_investor,N_other
66a862159eaf0131e1a8f740630a31ea4f3a&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,1
71d978d942e072d09ae75a86525278f496e3&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0,0,0,0,0,0,2,0.0,0.074563294641,-0.074563294641,0.0,0.0,0.0372816473205,0.0037029098704248324,0,2,0.0,376,0,0,2
529cb8c48a2ca7d7cf52c634e87dcdba21ce&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,1
8ce64c06e3e0869c8f97b268de2cf72283d0&0x67a5de922c1f4d1a4dbd848466b86b5455fb6a3b,0,0,0,0,0,0,3,0.0,0.0005865932643440001,-0.0005865932643440001,0.0,0.0,0.0001955310881146667,4.4997129222042595e-05,0,3,0.0,187456,0,2,1
027a4ccd46ec98199fa88aaedf5aa981db26&0x41a21b264f9ebf6cf571d4543a5b3ab1c6bed98c,11,0,0,0,0,0,15,4.5,0.0,4.5,0.3,1.161895003862225,0.0,0.0,15,0,16.0,264630,0,0,0
c244d798123fde783fcc1c72d3bb8c189413&0x269268008c72694abdf2a372cd6c005c7bd4dfe9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
fb5a3871b500f65bdfafe0136f9667deae06&0x119d0cee798eb5a00ca7afc44edede46994d5267,0,0,0,0,0,0,1,0.0646,0.0,0.0646,0.0646,0.0,0.0,0.0,1,0,2.0,0,0,0,0
a94016313d44eb9fc6deb0f46b69930b8b55&0xb2816223fddc21aca553ba208c7b7a13b27c207c,0,23,0,0,0,0,27,0.0,18.427213194444438,-18.427213194444438,0.0,0.0,0.6824893775720162,0.4496767424673071,0,27,0.0,2531853,0,0,27
ca498f7271b579eec4061222ea44b5cbd59d&0xe1c9a03cf690256ff7738cbd508c88cf5238a535,0,28,0,0,0,0,32,0.0,0.231737218040405,-0.231737218040405,0.0,0.0,0.0072417880637626565,0.011200953853419893,0,32,0.0,18059991,0,0,32
c12ec0f81966cbceb1241272082357d30e10&0x2f6321db2461f68676f42f396330a4dc4a8f49df,0,0,0,0,0,0,1,0.0,0.000588,-0.000588,0.0,0.0,0.000588,0.0,0,1,0.0,0,0,0,1
25747845cfcd01a97a46329d04a27375edb7&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,0,0,0,0,0,0,3,0.0,0.219942943715585,-0.219942943715585,0.0,0.0,0.07331431457186167,0.08563059951929296,0,3,0.0,331063,0,3,0
1547c7b8ae9bcf19cf9763bc7020501c3521&0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,0,13,0,0,0,0,17,0.0,0.8711203703703623,-0.8711203703703623,0.0,0.0,0.05124237472766837,0.030301685335759724,0,17,0.0,1803828,0,0,17
54be79281553dc1adc160ddf5cd9b74361a4&0x3b4bba481306a96f067ee1a53610c5cc4c368708,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
bd85293f3982f40d52698df8d26be89360d6&0x0b821d8c4fe7a20e4e01f59027d4962cc2b64038,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
be9a29b412712166da673b05dd24dd01dd2c&0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0,0,0,0,0,1,0.0,0.2,-0.2,0.0,0.0,0.2,0.0,0,1,0.0,0,0,0,1
cf79ade5e2c49b9e30d795517a81e0bf00b8&0x5c3453a5a2215932e7c8127b1da896afffee6d8e,0,0,0,0,0,0,1,0.531891555361995,0.0,0.531891555361995,0.531891555361995,0.0,0.0,0.0,1,0,2.0,0,0,0,0
c158fd24d1d97f936d4c5793c814d4b3949e&0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,0,2,0,0,0,0,6,0.0,0.24510558847457298,-0.24510558847457298,0.0,0.0,0.04085093141242883,0.0429851610763988,0,6,0.0,610959,0,5,1
b8dc6ff301f4e1ac7297ab92cd32cd808c88&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,0,0,0,0,0,0,1,0.0,0.10202444110027,-0.10202444110027,0.0,0.0,0.10202444110027,0.0,0,1,0.0,0,0,1,0
e866267d320b13ac838468b54e2c98be1385&0x8a883a20940870dc055f2070ac8ec847ed2d9918,0,0,0,0,0,0,3,0.0,0.014294641458414,-0.014294641458414,0.0,0.0,0.004764880486138,0.005533646236109024,0,3,0.0,864443,0,0,3
417a5e9de5c97bd979b26af96b113aa1937d&0xaf6de38ffc92e0d52857f864048d7af2f345a3cf,0,0,0,0,0,0,2,0.0,3.6852138069391502,-3.6852138069391502,0.0,0.0,1.8426069034695751,2.6023436702494305,0,2,0.0,209,0,0,2
3d06771cd2a8a5b7089cccfb1009f98ae558&0x7e0529eb456a7c806b5fe7b3d69a805339a06180,0,9,0,0,0,0,13,0.0,0.466851115494064,-0.466851115494064,0.0,0.0,0.03591162426877415,0.08558973600160304,0,13,0.0,662684,0,0,13
e87e0a235266d9c5adc9deb4b2e29b54d009&0x3662ef6f972163992085addc39dceabe086e7dea,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
b5ea61a310e7be6917422d71349df9fee34d&0x55d34b686aa8c04921397c5807db9ecedba00a4c,0,0,0,0,0,0,1,0.0,15.0,-15.0,0.0,0.0,15.0,0.0,0,1,0.0,0,0,1,0
c70653548b04f0a75970c1f81b4cbbfb606f&0xd317b2d2a3a5de67a2d18ccb537685bb1f522695,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
