Id,"('OUT&internal&call',)","('IN&internal&call',)","('OUT&internal&create',)","('IN&internal&suicide',)",Txn_len,N_investments,N_payments,D_index,Avg_investment,Std_investment,Avg_payment,Std_payment,Investment_times,Payment_times,Investment_payment_rate,Txn_period,N_owner,N_creator,N_other
66a862159eaf0131e1a8f740630a31ea4f3a&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,1
71d978d942e072d09ae75a86525278f496e3&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1,0,0,0,2,0.0,0.074563294641,-0.074563294641,0.0,0.0,0.0372816473205,0.0037029098704248324,0,2,0.0,376,0,0,2
529cb8c48a2ca7d7cf52c634e87dcdba21ce&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,1
8ce64c06e3e0869c8f97b268de2cf72283d0&0x67a5de922c1f4d1a4dbd848466b86b5455fb6a3b,2,0,0,0,3,0.0,0.0005865932643440001,-0.0005865932643440001,0.0,0.0,0.0001955310881146667,4.4997129222042595e-05,0,3,0.0,187456,0,2,1
a94016313d44eb9fc6deb0f46b69930b8b55&0xb2816223fddc21aca553ba208c7b7a13b27c207c,26,0,0,0,27,0.0,18.427213194444438,-18.427213194444438,0.0,0.0,0.6824893775720162,0.4496767424673071,0,27,0.0,2531853,0,0,27
ca498f7271b579eec4061222ea44b5cbd59d&0xe1c9a03cf690256ff7738cbd508c88cf5238a535,31,0,0,0,32,0.0,0.231737218040405,-0.231737218040405,0.0,0.0,0.0072417880637626565,0.011200953853419893,0,32,0.0,18059991,0,0,32
c12ec0f81966cbceb1241272082357d30e10&0x2f6321db2461f68676f42f396330a4dc4a8f49df,0,0,0,0,1,0.0,0.000588,-0.000588,0.0,0.0,0.000588,0.0,0,1,0.0,0,0,0,1
9cb7e6a1383d9492b687139d6edfa740c195&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,1
25747845cfcd01a97a46329d04a27375edb7&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,2,0,0,0,3,0.0,0.219942943715585,-0.219942943715585,0.0,0.0,0.07331431457186167,0.08563059951929296,0,3,0.0,331063,0,3,0
1547c7b8ae9bcf19cf9763bc7020501c3521&0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,16,0,0,0,17,0.0,0.8711203703703623,-0.8711203703703623,0.0,0.0,0.05124237472766837,0.030301685335759724,0,17,0.0,1803828,0,0,17
0f19a148054c4c0987e00285af96b21e259b&0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,2,0,0,0,3,0.0,0.0017,-0.0017,0.0,0.0,0.0005666666666666666,0.00024537386440559095,0,3,0.0,283709,0,0,3
1c1680c96fe4fbf0f4d1a1ba2a51c1b05b0c&0x8036165ccabee251c886d6121b047c16b5e798b5,2,0,0,0,3,0.0,0.036691030767921004,-0.036691030767921004,0.0,0.0,0.012230343589307002,0.006117491081189792,0,3,0.0,2062795,0,0,3
be9a29b412712166da673b05dd24dd01dd2c&0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0,0,0,1,0.0,0.2,-0.2,0.0,0.0,0.2,0.0,0,1,0.0,0,0,0,1
b387f9eb889d16d01de8d092465f9ae00fe6&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,1
c158fd24d1d97f936d4c5793c814d4b3949e&0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,5,0,0,0,6,0.0,0.24510558847457298,-0.24510558847457298,0.0,0.0,0.04085093141242883,0.0429851610763988,0,6,0.0,610959,0,5,1
4e03439dc73752de6dc77db3de443e1e55fc&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,1
6e5fb561d551e5dd3d200ec9f8d3fa29b9d3&0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0,0,0,1,0.0,0.012,-0.012,0.0,0.0,0.012,0.0,0,1,0.0,0,0,0,1
b8dc6ff301f4e1ac7297ab92cd32cd808c88&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,0,0,0,0,1,0.0,0.10202444110027,-0.10202444110027,0.0,0.0,0.10202444110027,0.0,0,1,0.0,0,0,1,0
