Id,"('IN&external&0', 'IN&external&0', 'IN&external&0')","('OUT&internal&call', 'OUT&internal&call', 'OUT&internal&call')","('IN&internal&call', 'IN&internal&call', 'IN&internal&call')","('OUT&internal&call', 'OUT&internal&call', 'IN&internal&call')","('OUT&internal&call', 'IN&internal&call', 'IN&internal&call')",Txn_len,N_investments,N_payments,D_index,Avg_investment,Std_investment,Avg_payment,Std_payment,Investment_times,Payment_times,Investment_payment_rate,Txn_period,N_owner,N_creator,N_other
cf79ade5e2c49b9e30d795517a81e0bf00b8&0xf47e03cb9cea9fc1d58c871b616bc492f7892fcc,5,0,0,0,0,8,0.141770182640652,0.0,0.141770182640652,0.0177212728300815,0.03427397830806931,0.0,0.0,8,0,9.0,8144945,0,0,0
9d08cb4904c5b754e859ffcb77ccaea1d077&0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,0,8,0,0,0,11,0.0,0.296525,-0.296525,0.0,0.0,0.02695681818181818,0.010927797644705741,0,11,0.0,1957055,0,0,11
027a4ccd46ec98199fa88aaedf5aa981db26&0x41a21b264f9ebf6cf571d4543a5b3ab1c6bed98c,12,0,0,0,0,15,4.5,0.0,4.5,0.3,1.161895003862225,0.0,0.0,15,0,16.0,264630,0,0,0
c244d798123fde783fcc1c72d3bb8c189413&0x269268008c72694abdf2a372cd6c005c7bd4dfe9,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
75f648430679a709e98d2b0cb6250d2887ef&0xb874250388ce454583b50fe92ab769ca66984d9a,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
9ea49eeab4bee2a2ce780fb9996dab384f3f&0x4a4528cf7d099f5b22e3986f2b97017068e3bb4f,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
fb5a3871b500f65bdfafe0136f9667deae06&0x119d0cee798eb5a00ca7afc44edede46994d5267,0,0,0,0,0,1,0.0646,0.0,0.0646,0.0646,0.0,0.0,0.0,1,0,2.0,0,0,0,0
a9235b08173b7569f83645d2c7fb55e8ccd8&0x0502e691dfe999e6689b2e1390fc65e2dde04e51,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
a94016313d44eb9fc6deb0f46b69930b8b55&0xb2816223fddc21aca553ba208c7b7a13b27c207c,0,24,0,0,0,27,0.0,18.427213194444438,-18.427213194444438,0.0,0.0,0.6824893775720162,0.4496767424673071,0,27,0.0,2531853,0,0,27
4b686aa8c04921397c5807db9ecedba00a4c&0xf7c89db5a83b9c9d9812a4de50de30eb570c4f30,0,0,0,0,0,1,1.98995995,0.0,1.98995995,1.98995995,0.0,0.0,0.0,1,0,2.0,0,0,0,0
7c1f0039f5d38770e15f8043b3dd26da5e8f&0x9e73f6be1d60416e0b7fcae645e4b0304350abdd,16,0,0,0,0,19,8.0,0.0,8.0,0.42105263157894735,1.1578747041063449,0.0,0.0,19,0,20.0,1916824,0,0,0
6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e&0x7d2e135d4d85dc4823a04612e743957b557fd814,9,0,0,0,0,12,0.6,0.0,0.6,0.049999999999999996,0.06741998624632423,0.0,0.0,12,0,13.0,784788,0,0,0
2489571d322189246dafa5ebde1f4699f498&0x30e73536c3875ef7b47519abff890d8f24db8967,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,3.0,687011,0,0,0
18dea74045e822352ce4b3ee77319dc5ff2f&0xfb63ee86fd8d3fd293d11b05b2dc4089126aecc1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0
