address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540604424,6592413.0,OUT,0.0,0x46ca237831493ac1dae84d8231d0cf840cc750818adbfdebb4cf066b7c4a7243,internal,call,0.027276239350541 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540989500,0.0,OUT,0.0,0x786deedbb86e81c84b9e10068b0db2d6b0fe24c85fd247fe3965f33086108665,internal,call,0.0101408105309 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540188390,6562889.0,OUT,0.0,0x86e168a52470ee27cd4d0c9968ae3e1ccb3a706a31d02d05f05de9658536d38d,internal,call,0.033078908155466 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539275675,0.0,OUT,0.0,0x8166ad468d570f13689045ef699663d3c77efe38b4ffeff9a2ee346e194d7af4,internal,call,0.001820153486976 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539740201,6531136.0,OUT,0.0,0xeb848b11625de0a00be84064b2bc25df7d259bb3001ff67ec2a1f89263d47283,internal,call,0.028514388426751 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540775942,6604513.0,OUT,0.0,0x395f2e94b54aa650ceb7dbb05aa3bbbf0ab0b18c2c2bc24bd740578348de07e7,internal,call,0.027826014500052 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539302450,6500062.0,OUT,0.0,0xdfa0b522ead670d975c18563bf4e0b6eb701fa9ed632431182714d8c33ba5d97,internal,call,0.011655393076421 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540690913,6598490.0,OUT,0.0,0x66f62b46fd8bcbd564d8706a0e2317d2c2eb47f552615966230e5c91ed2fabb9,internal,call,0.02807549229899 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539913942,6543463.0,OUT,0.0,0xa5a06a67ffd2a73d3c966d5acce3ec3d3e501dcff78cbd03a242d9f254043c77,internal,call,0.028431229160438 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540896148,6612987.0,OUT,0.0,0xac82289fd1b229d878f6b11f52dba8d966082d7f04b409d3e2a0172f8cfe159f,internal,call,0.01081532457988 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540521403,6586509.0,OUT,0.0,0x4496449e5e293572de2e08247c595eb0b3fc0325db415009c3ae991a883aeaf3,internal,call,0.029715577829044 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540345477,6574020.0,OUT,0.0,0x56d55889424c53a0e493e42d4508912a7f605012e6220492aada9f55b4af68c3,internal,call,0.030727348902515 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540251250,6567369.0,OUT,0.0,0x448a9a9a5a766b85da609b5142df5e945a1f65ab9fd9debc26e68e208e74c4b3,internal,call,0.020697417393364 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539396063,6506692.0,OUT,0.0,0x52ff1be9294754451f767e8ec639d825f8a23c39dc7210ba6465a42e6e37e98e,internal,call,0.027784434866896 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539566842,6518901.0,OUT,0.0,0x898fd6492c31dc2d65859bc2c4a22f7cf110ec5f37acc4e7b7d47946ee8c36d4,internal,call,0.056405082356157 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
